10/01/2024 : 06:43 :   ****** DOWNLOAD ******

10/01/2024 : 06:43 :   **** Set up ****
10/01/2024 : 06:43 :   Download event Id is 102261
10/01/2024 : 06:43 :   
10/01/2024 : 06:43 :   Source_id is 100120
10/01/2024 : 06:43 :   Type_id is 111
10/01/2024 : 06:43 :   Cutoff date is 2020-09-23
10/01/2024 : 06:43 :   Calling ObtainDataFromSourceAsync...
10/01/2024 : 07:18 :   49500 files processed, 30 added, after 1980 calls 
10/01/2024 : 07:18 :   49750 files processed, 30 added, after 1990 calls 
10/01/2024 : 07:19 :   50000 files processed, 30 added, after 2000 calls  (out of 10520)
10/01/2024 : 07:19 :   50250 files processed, 30 added, after 2010 calls 
10/01/2024 : 07:19 :   50500 files processed, 30 added, after 2020 calls 
10/01/2024 : 07:19 :   50750 files processed, 30 added, after 2030 calls 
10/01/2024 : 07:19 :   51000 files processed, 30 added, after 2040 calls 
10/01/2024 : 07:19 :   51250 files processed, 30 added, after 2050 calls 
10/01/2024 : 07:20 :   51500 files processed, 30 added, after 2060 calls 
10/01/2024 : 07:20 :   51750 files processed, 30 added, after 2070 calls 
10/01/2024 : 07:20 :   52000 files processed, 30 added, after 2080 calls 
10/01/2024 : 07:20 :   52250 files processed, 30 added, after 2090 calls 
10/01/2024 : 07:20 :   52500 files processed, 30 added, after 2100 calls 
10/01/2024 : 07:21 :   52750 files processed, 30 added, after 2110 calls 
10/01/2024 : 07:21 :   53000 files processed, 30 added, after 2120 calls 
10/01/2024 : 07:21 :   53250 files processed, 30 added, after 2130 calls 
10/01/2024 : 07:21 :   53500 files processed, 30 added, after 2140 calls 
10/01/2024 : 07:21 :   53750 files processed, 31 added, after 2150 calls 
10/01/2024 : 07:21 :   54000 files processed, 32 added, after 2160 calls 
10/01/2024 : 07:22 :   54250 files processed, 32 added, after 2170 calls 
10/01/2024 : 07:22 :   54500 files processed, 33 added, after 2180 calls 
10/01/2024 : 07:22 :   54750 files processed, 33 added, after 2190 calls 
10/01/2024 : 07:22 :   55000 files processed, 33 added, after 2200 calls  (out of 10520)
10/01/2024 : 07:22 :   55250 files processed, 33 added, after 2210 calls 
10/01/2024 : 07:22 :   55500 files processed, 33 added, after 2220 calls 
10/01/2024 : 07:23 :   55750 files processed, 33 added, after 2230 calls 
10/01/2024 : 07:23 :   56000 files processed, 33 added, after 2240 calls 
10/01/2024 : 07:23 :   56250 files processed, 33 added, after 2250 calls 
10/01/2024 : 07:23 :   56500 files processed, 33 added, after 2260 calls 
10/01/2024 : 07:23 :   56750 files processed, 33 added, after 2270 calls 
10/01/2024 : 07:23 :   57000 files processed, 34 added, after 2280 calls 
10/01/2024 : 07:24 :   57250 files processed, 34 added, after 2290 calls 
10/01/2024 : 07:24 :   57500 files processed, 34 added, after 2300 calls 
10/01/2024 : 07:24 :   57750 files processed, 34 added, after 2310 calls 
10/01/2024 : 07:24 :   58000 files processed, 35 added, after 2320 calls 
10/01/2024 : 07:24 :   58250 files processed, 35 added, after 2330 calls 
10/01/2024 : 07:25 :   58500 files processed, 35 added, after 2340 calls 
10/01/2024 : 07:25 :   58750 files processed, 36 added, after 2350 calls 
10/01/2024 : 07:25 :   59000 files processed, 36 added, after 2360 calls 
10/01/2024 : 07:25 :   59250 files processed, 36 added, after 2370 calls 
10/01/2024 : 07:25 :   59500 files processed, 36 added, after 2380 calls 
10/01/2024 : 07:25 :   59750 files processed, 36 added, after 2390 calls 
10/01/2024 : 07:26 :   60000 files processed, 36 added, after 2400 calls  (out of 10520)
10/01/2024 : 07:26 :   60250 files processed, 36 added, after 2410 calls 
10/01/2024 : 07:26 :   60500 files processed, 36 added, after 2420 calls 
10/01/2024 : 07:26 :   60750 files processed, 36 added, after 2430 calls 
10/01/2024 : 07:26 :   61000 files processed, 36 added, after 2440 calls 
10/01/2024 : 07:26 :   61250 files processed, 36 added, after 2450 calls 
10/01/2024 : 07:27 :   61500 files processed, 36 added, after 2460 calls 
10/01/2024 : 07:27 :   61750 files processed, 37 added, after 2470 calls 
10/01/2024 : 07:27 :   62000 files processed, 37 added, after 2480 calls 
10/01/2024 : 07:27 :   62250 files processed, 38 added, after 2490 calls 
10/01/2024 : 07:27 :   62500 files processed, 38 added, after 2500 calls 
10/01/2024 : 07:27 :   62750 files processed, 38 added, after 2510 calls 
10/01/2024 : 07:28 :   63000 files processed, 38 added, after 2520 calls 
10/01/2024 : 07:28 :   63250 files processed, 38 added, after 2530 calls 
10/01/2024 : 07:28 :   63500 files processed, 38 added, after 2540 calls 
10/01/2024 : 07:28 :   63750 files processed, 38 added, after 2550 calls 
10/01/2024 : 07:28 :   64000 files processed, 38 added, after 2560 calls 
10/01/2024 : 07:29 :   64250 files processed, 38 added, after 2570 calls 
10/01/2024 : 07:29 :   64500 files processed, 38 added, after 2580 calls 
10/01/2024 : 07:29 :   64750 files processed, 38 added, after 2590 calls 
10/01/2024 : 07:29 :   65000 files processed, 38 added, after 2600 calls  (out of 10520)
10/01/2024 : 07:29 :   65250 files processed, 38 added, after 2610 calls 
10/01/2024 : 07:29 :   65500 files processed, 39 added, after 2620 calls 
10/01/2024 : 07:30 :   65750 files processed, 39 added, after 2630 calls 
10/01/2024 : 07:30 :   66000 files processed, 39 added, after 2640 calls 
10/01/2024 : 07:30 :   66250 files processed, 39 added, after 2650 calls 
10/01/2024 : 07:30 :   66500 files processed, 39 added, after 2660 calls 
10/01/2024 : 07:30 :   66750 files processed, 39 added, after 2670 calls 
10/01/2024 : 07:30 :   67000 files processed, 39 added, after 2680 calls 
10/01/2024 : 07:31 :   67250 files processed, 39 added, after 2690 calls 
10/01/2024 : 07:31 :   67500 files processed, 40 added, after 2700 calls 
10/01/2024 : 07:31 :   67750 files processed, 40 added, after 2710 calls 
10/01/2024 : 07:31 :   68000 files processed, 40 added, after 2720 calls 
10/01/2024 : 07:31 :   68250 files processed, 41 added, after 2730 calls 
10/01/2024 : 07:31 :   68500 files processed, 42 added, after 2740 calls 
10/01/2024 : 07:32 :   68750 files processed, 42 added, after 2750 calls 
10/01/2024 : 07:32 :   69000 files processed, 42 added, after 2760 calls 
10/01/2024 : 07:32 :   69250 files processed, 42 added, after 2770 calls 
10/01/2024 : 07:32 :   69500 files processed, 43 added, after 2780 calls 
10/01/2024 : 07:32 :   69750 files processed, 43 added, after 2790 calls 
10/01/2024 : 07:33 :   70000 files processed, 43 added, after 2800 calls  (out of 10520)
10/01/2024 : 07:33 :   70250 files processed, 43 added, after 2810 calls 
10/01/2024 : 07:33 :   70500 files processed, 43 added, after 2820 calls 
10/01/2024 : 07:33 :   70750 files processed, 44 added, after 2830 calls 
10/01/2024 : 07:33 :   71000 files processed, 44 added, after 2840 calls 
10/01/2024 : 07:33 :   71250 files processed, 44 added, after 2850 calls 
10/01/2024 : 07:34 :   71500 files processed, 44 added, after 2860 calls 
10/01/2024 : 07:34 :   71750 files processed, 44 added, after 2870 calls 
10/01/2024 : 07:34 :   72000 files processed, 44 added, after 2880 calls 
10/01/2024 : 07:34 :   72250 files processed, 44 added, after 2890 calls 
10/01/2024 : 07:34 :   72500 files processed, 44 added, after 2900 calls 
10/01/2024 : 07:34 :   72750 files processed, 44 added, after 2910 calls 
10/01/2024 : 07:35 :   73000 files processed, 44 added, after 2920 calls 
10/01/2024 : 07:35 :   73250 files processed, 44 added, after 2930 calls 
10/01/2024 : 07:35 :   73500 files processed, 45 added, after 2940 calls 
10/01/2024 : 07:35 :   73750 files processed, 45 added, after 2950 calls 
10/01/2024 : 07:35 :   74000 files processed, 45 added, after 2960 calls 
10/01/2024 : 07:35 :   74250 files processed, 45 added, after 2970 calls 
10/01/2024 : 07:36 :   74500 files processed, 45 added, after 2980 calls 
10/01/2024 : 07:36 :   74750 files processed, 45 added, after 2990 calls 
10/01/2024 : 07:36 :   75000 files processed, 45 added, after 3000 calls  (out of 10520)
10/01/2024 : 07:36 :   75250 files processed, 45 added, after 3010 calls 
10/01/2024 : 07:36 :   75500 files processed, 45 added, after 3020 calls 
10/01/2024 : 07:37 :   75750 files processed, 45 added, after 3030 calls 
10/01/2024 : 07:37 :   76000 files processed, 45 added, after 3040 calls 
10/01/2024 : 07:37 :   76250 files processed, 45 added, after 3050 calls 
10/01/2024 : 07:37 :   76500 files processed, 45 added, after 3060 calls 
10/01/2024 : 07:37 :   76750 files processed, 45 added, after 3070 calls 
10/01/2024 : 07:37 :   77000 files processed, 45 added, after 3080 calls 
10/01/2024 : 07:38 :   77250 files processed, 45 added, after 3090 calls 
10/01/2024 : 07:38 :   77500 files processed, 45 added, after 3100 calls 
10/01/2024 : 07:38 :   77750 files processed, 45 added, after 3110 calls 
10/01/2024 : 07:38 :   78000 files processed, 45 added, after 3120 calls 
10/01/2024 : 07:38 :   78250 files processed, 45 added, after 3130 calls 
10/01/2024 : 07:38 :   78500 files processed, 45 added, after 3140 calls 
10/01/2024 : 07:39 :   78750 files processed, 45 added, after 3150 calls 
10/01/2024 : 07:39 :   79000 files processed, 45 added, after 3160 calls 
10/01/2024 : 07:39 :   79250 files processed, 46 added, after 3170 calls 
10/01/2024 : 07:39 :   79500 files processed, 46 added, after 3180 calls 
10/01/2024 : 07:39 :   79750 files processed, 46 added, after 3190 calls 
10/01/2024 : 07:39 :   80000 files processed, 46 added, after 3200 calls  (out of 10520)
10/01/2024 : 07:40 :   80250 files processed, 47 added, after 3210 calls 
10/01/2024 : 07:40 :   80500 files processed, 48 added, after 3220 calls 
10/01/2024 : 07:40 :   80750 files processed, 48 added, after 3230 calls 
10/01/2024 : 07:40 :   81000 files processed, 49 added, after 3240 calls 
10/01/2024 : 07:40 :   81250 files processed, 49 added, after 3250 calls 
10/01/2024 : 07:41 :   81500 files processed, 49 added, after 3260 calls 
10/01/2024 : 07:41 :   81750 files processed, 49 added, after 3270 calls 
10/01/2024 : 07:41 :   82000 files processed, 50 added, after 3280 calls 
10/01/2024 : 07:41 :   82250 files processed, 50 added, after 3290 calls 
10/01/2024 : 07:41 :   82500 files processed, 50 added, after 3300 calls 
10/01/2024 : 07:41 :   82750 files processed, 50 added, after 3310 calls 
10/01/2024 : 07:42 :   83000 files processed, 50 added, after 3320 calls 
10/01/2024 : 07:42 :   83250 files processed, 50 added, after 3330 calls 
10/01/2024 : 07:42 :   83500 files processed, 50 added, after 3340 calls 
10/01/2024 : 07:42 :   83750 files processed, 50 added, after 3350 calls 
10/01/2024 : 07:42 :   84000 files processed, 51 added, after 3360 calls 
10/01/2024 : 07:42 :   84250 files processed, 52 added, after 3370 calls 
10/01/2024 : 07:43 :   84500 files processed, 52 added, after 3380 calls 
10/01/2024 : 07:43 :   84750 files processed, 52 added, after 3390 calls 
10/01/2024 : 07:43 :   85000 files processed, 52 added, after 3400 calls  (out of 10520)
10/01/2024 : 07:43 :   85250 files processed, 52 added, after 3410 calls 
10/01/2024 : 07:43 :   85500 files processed, 52 added, after 3420 calls 
10/01/2024 : 07:43 :   85750 files processed, 52 added, after 3430 calls 
10/01/2024 : 07:44 :   86000 files processed, 52 added, after 3440 calls 
10/01/2024 : 07:44 :   86250 files processed, 52 added, after 3450 calls 
